variable,records,co,co_sib,co_sing,employment
Alabama,28162,24.2%,10.7%,5.2%,"2,153,404"
,,"[ 23.7%, 24.8% ]","[ 10.3%, 11.1% ]","[ 4.9%, 5.4% ]","[ 2,127,892, 2,178,915 ]"
Alaska,17516,27.7%,12.2%,4.8%,"338,197"
,,"[ 27.0%, 28.4% ]","[ 11.7%, 12.7% ]","[ 4.5%, 5.2% ]","[ 333,083, 343,312 ]"
Arizona,23684,28.7%,11.3%,5.9%,"3,368,958"
,,"[ 28.2%, 29.3% ]","[ 10.9%, 11.8% ]","[ 5.6%, 6.2% ]","[ 3,325,573, 3,412,343 ]"
Arkansas,25642,25.9%,12.1%,5.1%,"1,316,127"
,,"[ 25.3%, 26.4% ]","[ 11.7%, 12.5% ]","[ 4.8%, 5.4% ]","[ 1,299,843, 1,332,411 ]"
California,129636,26.9%,9.8%,5.1%,"18,861,007"
,,"[ 26.6%, 27.1% ]","[ 9.7%, 10.0% ]","[ 5.0%, 5.3% ]","[ 18,761,039, 18,960,975 ]"
Colorado,20498,25.4%,12.2%,5.3%,"3,020,009"
,,"[ 24.8%, 26.0% ]","[ 11.7%, 12.6% ]","[ 5.0%, 5.7% ]","[ 2,977,911, 3,062,107 ]"
Connecticut,16044,23.7%,12.1%,4.3%,"1,841,723"
,,"[ 23.0%, 24.4% ]","[ 11.6%, 12.7% ]","[ 4.0%, 4.6% ]","[ 1,812,537, 1,870,910 ]"
Delaware,16247,26.4%,11.4%,5.4%,"473,391"
,,"[ 25.7%, 27.1% ]","[ 10.9%, 11.9% ]","[ 5.0%, 5.8% ]","[ 465,853, 480,930 ]"
District of Columbia,26098,16.2%,8.8%,5.5%,"394,111"
,,"[ 15.7%, 16.7% ]","[ 8.5%, 9.2% ]","[ 5.2%, 5.8% ]","[ 389,143, 399,079 ]"
Florida,63994,23.9%,10.7%,5.5%,"9,971,570"
,,"[ 23.6%, 24.3% ]","[ 10.5%, 11.0% ]","[ 5.4%, 5.7% ]","[ 9,894,639, 10,048,501 ]"
Georgia,33515,26.7%,11.0%,5.6%,"4,932,292"
,,"[ 26.2%, 27.2% ]","[ 10.7%, 11.4% ]","[ 5.3%, 5.9% ]","[ 4,878,823, 4,985,760 ]"
Hawaii,20970,29.0%,11.5%,5.2%,"647,664"
,,"[ 28.4%, 29.7% ]","[ 11.0%, 11.9% ]","[ 4.8%, 5.5% ]","[ 638,688, 656,641 ]"
Idaho,24917,27.9%,11.8%,3.5%,"837,461"
,,"[ 27.3%, 28.4% ]","[ 11.4%, 12.2% ]","[ 3.3%, 3.7% ]","[ 827,001, 847,921 ]"
Illinois,42314,25.3%,11.5%,4.4%,"6,252,638"
,,"[ 24.8%, 25.7% ]","[ 11.2%, 11.8% ]","[ 4.2%, 4.6% ]","[ 6,192,485, 6,312,791 ]"
Indiana,25513,26.4%,12.5%,4.0%,"3,290,288"
,,"[ 25.9%, 27.0% ]","[ 12.1%, 12.9% ]","[ 3.8%, 4.3% ]","[ 3,249,433, 3,331,143 ]"
Iowa,19418,26.3%,13.5%,3.8%,"1,668,238"
,,"[ 25.6%, 26.9% ]","[ 13.1%, 14.0% ]","[ 3.5%, 4.0% ]","[ 1,644,609, 1,691,867 ]"
Kansas,20032,28.3%,14.8%,5.0%,"1,437,275"
,,"[ 27.7%, 29.0% ]","[ 14.3%, 15.3% ]","[ 4.7%, 5.3% ]","[ 1,417,063, 1,457,487 ]"
Kentucky,17220,26.5%,12.5%,4.2%,"2,009,779"
,,"[ 25.9%, 27.2% ]","[ 12.0%, 13.1% ]","[ 3.9%, 4.5% ]","[ 1,979,259, 2,040,298 ]"
Louisiana,31613,26.7%,12.3%,7.0%,"2,039,015"
,,"[ 26.2%, 27.2% ]","[ 11.9%, 12.7% ]","[ 6.7%, 7.3% ]","[ 2,016,220, 2,061,810 ]"
Maine,12804,21.6%,11.2%,3.3%,"669,961"
,,"[ 20.9%, 22.3% ]","[ 10.6%, 11.7% ]","[ 2.9%, 3.6% ]","[ 658,144, 681,777 ]"
Maryland,20434,27.6%,12.9%,5.5%,"3,172,696"
,,"[ 26.9%, 28.2% ]","[ 12.4%, 13.4% ]","[ 5.2%, 5.8% ]","[ 3,128,186, 3,217,205 ]"
Massachusetts,34026,23.0%,11.9%,3.6%,"3,690,762"
