variable,records,co,co_sib,co_sing,employment
South Dakota,1548,32.3,21.2,2.4,36
,,"[29.9, 34.7]","[19.1, 23.3]","[1.7, 3.2]","[34, 38]"
Oregon,1586,31.4,20.7,5.5,141
,,"[29.1, 33.7]","[18.7, 22.8]","[4.3, 6.7]","[134, 148]"
Missouri,1495,34.0,20.6,7.9,213
,,"[31.5, 36.5]","[18.4, 22.8]","[6.4, 9.4]","[202, 224]"
Nebraska,1312,33.1,20.5,5.0,63
,,"[30.5, 35.8]","[18.3, 22.8]","[3.8, 6.2]","[60, 67]"
Minnesota,1603,31.3,19.9,5.8,218
,,"[29.0, 33.7]","[17.9, 21.9]","[4.6, 7.0]","[207, 228]"
Wisconsin,1425,30.1,19.6,4.8,194
,,"[27.7, 32.6]","[17.4, 21.7]","[3.6, 6.0]","[184, 204]"
Louisiana,2618,35.0,19.3,12.0,162
,,"[33.1, 36.8]","[17.8, 20.8]","[10.7, 13.3]","[156, 168]"
North Dakota,1627,28.6,19.3,4.4,26
,,"[26.4, 30.8]","[17.3, 21.2]","[3.4, 5.4]","[25, 28]"
Kentucky,1346,33.0,18.2,5.5,155
,,"[30.5, 35.6]","[16.1, 20.3]","[4.3, 6.8]","[147, 163]"
Virginia,1496,30.4,18.0,6.8,217
,,"[28.0, 32.8]","[16.0, 20.0]","[5.5, 8.2]","[206, 228]"
Kansas,1354,31.2,17.8,6.7,96
,,"[28.6, 33.7]","[15.7, 19.9]","[5.3, 8.1]","[90, 101]"
North Carolina,2583,29.5,17.3,8.0,376
,,"[27.7, 31.3]","[15.8, 18.8]","[6.9, 9.0]","[362, 391]"
Utah,1393,35.4,17.3,3.9,85
,,"[32.9, 37.9]","[15.3, 19.3]","[2.9, 5.0]","[80, 89]"
Oklahoma,1470,31.6,16.9,6.0,121
,,"[29.2, 34.1]","[14.9, 18.9]","[4.7, 7.3]","[114, 127]"
Arkansas,2094,30.2,16.7,5.8,106
,,"[28.2, 32.2]","[15.1, 18.3]","[4.8, 6.9]","[101, 111]"
Mississippi,2095,33.3,16.7,11.3,104
