statecensus,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
Alabama,0.32324072993042846,0.1582019472211613,0.10279593674722644,0.08226264399935064,0.08810307823134728,0.02938808866827017,61144
Alaska,0.38482166434081927,0.17563231922356606,0.12276495617171984,0.08735641324673443,0.07669564609490508,0.00433041311335819,36589
Arizona,0.3643390956361322,0.17637422157929294,0.1103300708363799,0.07643238086199886,0.08144651353457684,0.0433459135826811,49402
Arkansas,0.3331908533276286,0.17515725449299688,0.11874215989972091,0.08864274178089729,0.08066375096771605,0.018108088626488848,55870
California,0.35837898870431545,0.1513486330268795,0.09851111531641718,0.06982368231408558,0.07618920662701843,0.23924953262883444,260723
Colorado,0.3475283600046582,0.19552491390760154,0.13507494482315427,0.08792837183740311,0.07616877720683501,0.03438694956674951,37219
Connecticut,0.3134779254442811,0.18122039672897333,0.12959380519302402,0.08444305539304012,0.06629387720682635,0.021537717509353817,29751
Delaware,0.32577894159952037,0.1690148962338284,0.11539349896650256,0.09218994556223156,0.07594826641591614,0.005853245962941445,32493
District of Columbia,0.26190438018040024,0.14229010168948095,0.10862506210109676,0.08593676073266168,0.10979555188346378,0.004244276421892157,43704
Florida,0.3068568579704797,0.1488786737738964,0.10409572733192661,0.07934088984099717,0.08369480530272409,0.12901174969363968,133223
Georgia,0.3571714770156457,0.17562152153898583,0.1112031591321849,0.08566574484615222,0.08904160270825952,0.06333713433990783,69454
Hawaii,0.367940626324329,0.15973611631933826,0.10979576887958552,0.07795600556009892,0.0732040245816209,0.008328931444391981,43745
Idaho,0.37684297795538435,0.19655495441832163,0.11978188235708064,0.0763792953346528,0.051078891643194735,0.010687482859876208,51120
Illinois,0.33715153752495497,0.18100489612514895,0.12008813128805097,0.08461336908351219,0.06964963468540629,0.07654126711712873,82302
Indiana,0.35340654824119444,0.19326213534772888,0.13053814257050017,0.09044098477981664,0.06324742024410124,0.04035707458439744,50174
Iowa,0.34739047848120314,0.22708659501208925,0.14936675570414418,0.1102054515771979,0.05758811922520179,0.019042408372637678,35838
Kansas,0.3710040387519154,0.2216349433748003,0.1563387348030618,0.11637657453553801,0.07573423820731529,0.017406567016450925,38963
Kentucky,0.340397672740653,0.17026750660343282,0.12025682519404249,0.08542677838555612,0.07241330224705675,0.02680080862553579,37286
Louisiana,0.35022194710258975,0.17597639516095545,0.12036746602820676,0.0911344151979735,0.11527945406679962,0.027831355906876805,70199
Maine,0.2771342379477293,0.15172404366038322,0.11050940540038856,0.07620752313770342,0.05005110481228948,0.00809859772607563,25040
Maryland,0.35741353545486054,0.20477220499286686,0.14074976796098806,0.10839387633347439,0.08008404163748885,0.03643139889160987,37599
Massachusetts,0.3044096225627125,0.17523137421809473,0.12694705748083085,0.08416462352273855,0.05875667655569567,0.04174728384882653,61875
Michigan,0.31524553875144534,0.17252937960929068,0.11566172037623776,0.07918127315481954,0.07426519675127136,0.060387012386213114,69175
Minnesota,0.3411796089122982,0.23127581048267792,0.16686698593424723,0.12025373497680114,0.05779491359481483,0.034068652376462956,40715
Mississippi,0.35615498619959307,0.174291307307213,0.10804140861518495,0.08937020744387068,0.11888883548500834,0.017788408334330003,56295
Missouri,0.34049351233184677,0.20679769040320406,0.14536517759688525,0.1122201650632963,0.06237448283454814,0.03679033929464202,42788
Montana,0.3228821250456577,0.17871338389572397,0.12555457431116337,0.08008649954536426,0.05729847093391458,0.006416001149148474,55386
Nebraska,0.37979187510101,0.24156566129925466,0.16155424635634377,0.11962367621535931,0.06955823238891723,0.011634673997455205,38983
Nevada,0.3457384977380914,0.17131023951695826,0.11238994190723962,0.08442649305215454,0.08160182815300869,0.018538817322458406,39143
New Hampshire,0.2876135085961832,0.17088422485829047,0.12251711023871063,0.08816199306049319,0.045388939134253875,0.008177565759429581,41343
New Jersey,0.3282162262914329,0.1760057236387579,0.11037499710158115,0.08436629571012678,0.05695727541225064,0.054143252044330605,58624
New Mexico,0.35607878501982765,0.1494076240588589,0.09542240647039582,0.07153746447589927,0.10656262921230426,0.012555856683432646,51953
New York,0.3204689595092099,0.14545132212047954,0.1007001874942577,0.07250942410982661,0.07833264238592005,0.11855379023313913,120933
North Carolina,0.3423260913642794,0.1738793757603761,0.12425820652653721,0.09304828553386786,0.0905659367354876,0.062468299819555,69176
