statecensus,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
Alabama,0.27900647438714815,0.205383425634852,0.14181673048837426,0.11101282626296696,0.08321971856092492,9.971770874136004e-4,2077
Alaska,0.30583567272914153,0.18344352097962693,0.1333984332285513,0.09385065274031319,0.04648609268978967,1.5398774049663888e-4,1280
Arizona,0.31294957929372275,0.20158808527965294,0.12949400458656574,0.09165041812867565,0.08006829365008199,0.0013141487145652533,1444
Arkansas,0.3024344096443912,0.21014513837518825,0.16566489203845083,0.1304693145959389,0.05848569533909036,6.783359343086028e-4,2111
California,0.26746909768323723,0.16069033340749433,0.11673732208801657,0.08289937834018613,0.05092396060182667,0.006565365628387877,7213
Colorado,0.3168662540466563,0.2362438643022174,0.16504284725049748,0.11178314724153575,0.0851088925065589,0.001100817678406463,1162
Connecticut,0.26134673289275445,0.2031546816816572,0.11902232729673078,0.08630410888666236,0.057245155900231284,9.390652561283256e-4,1278
Delaware,0.30912934267136954,0.18994629395967844,0.13311406193023093,0.09482310484391876,0.0850240373978243,2.3249982533794648e-4,1258
District of Columbia,0.15965505776257816,0.1020672515679495,0.08681234908524543,0.07633542384215815,0.09311700222848268,1.0787359661226709e-4,1102
Florida,0.2665602000110046,0.18785886652826467,0.14142892320095368,0.10454117401066738,0.07875613524231928,0.004698511641245322,4846
Georgia,0.29619994066074506,0.21287252996987727,0.1427009677088998,0.11627076361250303,0.09194573429037323,0.0019059818773382096,2053
Hawaii,0.2963867061310229,0.17003771318128702,0.12303021096592175,0.09602974622489553,0.03691617075762449,2.241987666059396e-4,1167
Idaho,0.30753184459924304,0.21655407663708512,0.1384925243367336,0.09448629728362211,0.03459977937703636,2.672810821343493e-4,1283
Illinois,0.27306852863876424,0.18560116030518004,0.1182966856330413,0.07797877201698836,0.06837763356670028,0.0026650587475194167,2850
Indiana,0.2544874834623625,0.18322731234353593,0.1358120265871815,0.10153482528854224,0.04555628084549336,0.0014258810897170592,1751
Iowa,0.2808841320007817,0.2171138804731762,0.15120555886319342,0.10234584786778164,0.06115759467193006,6.639487673384887e-4,1217
Kansas,0.3097500330956277,0.23308489899827103,0.1770427675842525,0.12488435927960805,0.06636419300212262,6.10716502419467e-4,1363
Kentucky,0.32924378764694306,0.2353863499689264,0.1801841786600349,0.14826550207617842,0.0544646156176823,9.950298342368499e-4,1361
Louisiana,0.35022606982908394,0.2712580054860597,0.19139160349501078,0.1439315686817928,0.12050095680208418,0.0010352555214145779,2641
Maine,0.2636939080185511,0.19351333757386452,0.1488954168918536,0.09704130507061368,0.02173948778089315,3.6375496036544455e-4,1080
Maryland,0.25090989887713827,0.17613834139317713,0.12747069063224706,0.09672871888691868,0.07265360091708283,0.0013868949866626082,1429
Massachusetts,0.24281871001829736,0.18098669430444989,0.1410649869206781,0.08390671066227953,0.05743538208749681,0.002009466467618535,2875
Michigan,0.28628578888670153,0.19385796911978814,0.1452402594892389,0.09718184642725955,0.0900947820798728,0.00219683323777632,2431
Minnesota,0.312014307364144,0.2660187756022729,0.19745346802052452,0.1288591906183266,0.058444098958880135,0.0013933836429235876,1618
Mississippi,0.3336798668104336,0.23026600793260493,0.16618948218921778,0.15146317188140473,0.11378300152990409,6.643664160940592e-4,2105
Missouri,0.3399797893205845,0.25974013733426493,0.2051804788701247,0.16665296090206508,0.07951695782297094,0.0013583348042543407,1504
