occ,statecensus,Fraction of Workforce,description
9140,63,2.1e-5,Taxi drivers and chauffeurs
4920,63,9.5e-5,Real estate brokers and sales agents
0350,63,4.5e-5,Medical and health services managers
5700,63,2.08e-4,Secretaries and administrative assistants
5240,63,1.89e-4,Customer service representatives
3255,63,3.48e-4,Registered nurses
4040,63,2.2e-5,Bartenders
6840,63,3e-6,Mining machine operators
4230,63,1.13e-4,Maids and housekeeping cleaners
3010,63,1.5e-5,Dentists
2320,63,7.8e-5,Secondary school teachers
4020,63,2.03e-4,Cooks
4210,63,2.2e-5,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
9130,63,4.22e-4,Driver/sales workers and truck drivers
9360,63,5e-6,Service station attendants
0010,63,8.1e-5,Chief executives
0430,63,3.3e-4,"Managers, all other"
3535,63,2.3e-5,Miscellaneous health technologists and technicians
8140,63,1.4e-4,"Welding, soldering, and brazing workers"
2100,63,1.04e-4,"Lawyers, Judges, magistrates, and other judicial workers"
1107,63,7.5e-5,"Computer occupations, all other"
3420,63,8.9e-5,Health practitioner support technologists and technicians 
5420,63,8e-6,"Information and record clerks, all other"
5120,63,1e-4,"Bookkeeping, accounting, and auditing clerks"
8030,63,3.3e-5,Machinists
2340,63,8e-5,Other teachers and instructors
4220,63,1.86e-4,Janitors and building cleaners
5860,63,1.07e-4,"Office clerks, general"
7840,63,9e-6,Food batchmakers
2330,63,2.4e-5,Special education teachers
4710,63,8.9e-5,First-line supervisors/managers of non-retail sales workers
9620,63,1.97e-4,"Laborers and freight, stock, and material movers, hand"
3850,63,6.4e-5,Police and sheriff's patrol officers
0310,63,1.11e-4,Food service managers
3320,63,2e-5,Diagnostic related technologists and technicians
3600,63,1.46e-4,"Nursing, psychiatric, and home health aides"
1530,63,7.2e-5,"Engineers, all other"
1020,63,6.8e-5,"Software developers, applications and systems software"
5920,63,0,Statistical assistants
1050,63,2.8e-5,Computer support specialists
3930,63,6.3e-5,Security guards and gaming surveillance officers
8740,63,1.1e-4,"Inspectors, testers, sorters, samplers, and weighers"
3220,63,2.3e-5,Respiratory therapists
6260,63,1.98e-4,Construction laborers
1360,63,4.4e-5,Civil engineers
4700,63,3.02e-4,First-line supervisors/managers of retail sales workers
5550,63,2.3e-5,Postal service mail carriers
5620,63,1.5e-4,Stock clerks and order fillers
0136,63,3e-5,Human Resources Managers
4720,63,3.06e-4,Cashiers
4500,63,1e-5,Barbers
0800,63,1.43e-4,Accountants and auditors
0630,63,3.5e-5,Human resource workers
8310,63,1.1e-5,"Pressers, textile, garment, and related materials"
5300,63,1.7e-5,"Hotel, motel, and resort desk clerks"
1430,63,2.4e-5,"Industrial engineers, including health and safety"
4760,63,2.88e-4,Retail salespersons
4030,63,5e-5,Food preparation workers
1320,63,2.7e-5,Aerospace engineers
0020,63,7.6e-5,General and operations managers
2710,63,5e-6,Producers and directors
8640,63,1.3e-5,"Chemical processing machine setters, operators, and tenders"
9610,63,4.4e-5,Cleaners of vehicles and equipment
0700,63,2.8e-5,Logisticians
9600,63,7.3e-5,Industrial truck and tractor operators
4965,63,3e-5,"Sales and related workers, all other"
7200,63,7.9e-5,Automotive service technicians and mechanics
5000,63,1.03e-4,First-line supervisors/managers of office and administrative support workers
0420,63,3.3e-5,Social and community service managers
4610,63,7.1e-5,Personal and home care aides
0060,63,9e-6,Public relations managers
2310,63,3.8e-4,Elementary and middle school teachers
7810,63,2.9e-5,"Butchers and other meat, poultry, and fish processing workers"
6230,63,9.2e-5,Carpenters
9000,63,2e-5,"Supervisors, transportation and material moving workers"
0740,63,1.1e-5,"Business operations specialists, all other"
1010,63,4e-5,Computer programmers
2900,63,6e-6,Broadcast and sound engineering technicians and radio operators
3820,63,9e-6,Detectives and criminal investigators
1300,63,1e-5,"Architects, except naval"
2750,63,1e-5,"Musicians, singers, and related workers"
0850,63,1.5e-5,Personal financial advisors
7210,63,4.7e-5,Bus and truck mechanics and diesel engine specialists
2145,63,3.5e-5,Paralegals and legal assistants
4510,63,7.2e-5,"Hairdressers, hairstylists, and cosmetologists"
5110,63,3.1e-5,Billing and posting clerks and machine operators
4200,63,2.7e-5,First-line supervisors/managers of housekeeping and janitorial workers
9640,63,4.9e-5,"Packers and packagers, hand"
1006,63,3.8e-5,Computer systems analysts
3500,63,1e-4,Licensed practical and licensed vocational nurses
6355,63,9.3e-5,Electricians
2000,63,5.6e-5,Counselors
4110,63,1.87e-4,Waiters and waitresses
9510,63,2e-5,Crane and tower operators
1460,63,2.2e-5,Mechanical engineers
2540,63,4.1e-5,Teacher assistants
7750,63,2.48e-4,Miscellaneous assemblers and fabricators
0040,63,5e-6,Advertising and promotions managers
3400,63,1.8e-5,Emergency medical technicians and paramedics
0050,63,5.7e-5,Marketing and sales managers
3649,63,1.4e-5,Phlebotmists
3655,63,2.7e-5,"Miscellaneous healthcare support occupations, including medical equipment preparers"
5165,63,8e-6,"Financial clerks, all other"
8130,63,2e-6,Tool and die makers
3060,63,6.2e-5,Physicians and surgeons
2040,63,6e-5,Clergy
4840,63,4.5e-5,"Sales representatives, services, all other"
7000,63,3.4e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
0710,63,4.6e-5,Management analysts
0120,63,8.2e-5,Financial managers
2200,63,9.5e-5,Postsecondary teachers
0410,63,4.6e-5,"Property, real estate, and community association managers"
9120,63,5.2e-5,Bus drivers
4850,63,1.01e-4,"Sales representatives, wholesale and manufacturing"
5330,63,1e-5,Loan interviewers and clerks
5840,63,2.6e-5,Insurance claims and policy processing clerks
4460,63,1e-6,Funeral service workers 
5510,63,2.7e-5,Couriers and messengers
6120,63,2e-6,Forest and conservation workers
3300,63,4.4e-5,Clinical laboratory technologists and technicians
4320,63,2e-5,First-line supervisors/managers of personal service workers
2600,63,1.1e-5,Artists and related workers
4600,63,7.9e-5,Child care workers
1550,63,5.3e-5,"Engineering technicians, except drafters"
5320,63,1.2e-5,"Library assistants, clerical"
7720,63,1.4e-5,"Electrical, electronics, and electromechanical assemblers"
4130,63,3.4e-5,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers"
3640,63,2.8e-5,Dental assistants
4810,63,6.9e-5,Insurance sales agents
7140,63,3.1e-5,Aircraft mechanics and service technicians
0540,63,2.8e-5,"Claims adjusters, appraisers, examiners, and investigators"
